old_local,new_local,phase2_flag
10_9_11_8_0_1_7_2_3_5_6_4,10_9_11_8_0_1_7_2_3_5_6_4,0
10_9_11_8_0_1_7_2_3_6_5_4,10_9_11_8_0_1_7_2_3_6_5_4,0
10_9_11_8_0_2_5_7_6_3_1_4,10_9_11_8_0_2_5_7_6_3_1_4,0
10_9_11_8_0_5_6_3_4_7_2_1,10_9_11_8_0_5_6_3_4_7_2_1,0
10_9_11_8_0_7_1_2_6_4_3_5,10_9_11_8_0_7_1_2_6_4_3_5,0
10_9_11_8_0_7_1_6_2_5_3_4,10_9_11_8_0_7_1_6_2_5_3_4,0
10_9_11_8_0_7_4_3_5_2_6_1,10_9_11_8_0_7_4_3_5_2_6_1,0
10_9_11_8_0_7_6_1_2_3_4_5,10_9_11_8_0_7_6_1_2_3_4_5,0
10_9_11_8_4_6_7_3_5_1_0_2,10_9_11_8_4_6_7_3_5_1_0_2,0
10_9_11_8_6_1_2_4_3_0_5_7,10_9_11_8_6_1_2_4_3_0_5_7,0
10_9_11_8_6_5_7_4_2_1_3_0,10_9_11_8_6_5_7_4_2_1_3_0,0
10_9_11_8_6_7_1_0_2_5_3_4,10_9_11_8_6_7_1_0_2_5_3_4,0
10_9_1_0_11_5_4_8_7_6_3_2,10_9_1_0_11_5_4_8_7_6_3_2,0
10_9_1_0_11_6_4_7_8_5_3_2,10_9_1_0_11_6_4_7_8_5_3_2,0
10_9_1_0_2_4_5_8_7_3_11_6,10_9_1_0_2_4_5_8_7_3_11_6,0
10_9_1_0_2_5_6_4_11_3_7_8,10_9_1_0_2_5_6_4_11_3_7_8,0
10_9_1_0_4_8_7_3_2_11_6_5,10_9_1_0_4_8_7_3_2_11_6_5,0
10_9_1_0_5_2_4_11_3_7_6_8,10_9_1_0_5_2_4_11_3_7_6_8,0
10_9_1_0_6_2_8_7_4_3_11_5,10_9_1_0_6_2_8_7_4_3_11_5,0
10_9_1_0_7_11_5_6_2_8_3_4,10_9_1_0_7_11_5_6_2_8_3_4,0
10_9_1_0_7_3_11_2_5_6_4_8,10_9_1_0_7_3_11_2_5_6_4_8,0
10_9_1_0_8_7_3_2_11_5_6_4,10_9_1_0_8_7_3_2_11_5_6_4,0
10_9_1_11_0_3_2_7_6_4_5_8,10_9_1_11_0_3_2_7_6_4_5_8,0
10_9_1_11_0_4_2_5_7_8_3_6,10_9_1_11_0_4_2_5_7_8_3_6,0
10_9_1_11_0_4_6_3_2_5_7_8,10_9_1_11_0_4_6_3_2_5_7_8,0
10_9_1_11_0_8_7_3_4_2_6_5,10_9_1_11_0_8_7_3_4_2_6_5,0
10_9_1_11_2_0_6_5_4_8_7_3,10_9_1_11_2_0_6_5_4_8_7_3,0
10_9_1_11_3_2_6_4_5_0_7_8,10_9_1_11_3_2_6_4_5_0_7_8,0
10_9_1_11_4_3_8_0_5_6_7_2,10_9_1_11_4_3_8_0_5_6_7_2,0
10_9_1_11_5_2_7_4_3_8_0_6,10_9_1_11_5_2_7_4_3_8_0_6,0
10_9_1_11_5_7_3_4_0_2_8_6,10_9_1_11_5_7_3_4_0_2_8_6,0
10_9_1_11_5_7_4_0_8_3_6_2,10_9_1_11_5_7_4_0_8_3_6_2,0
10_9_1_11_7_8_3_4_0_2_6_5,10_9_1_11_7_8_3_4_0_2_6_5,0
10_9_1_2_0_6_4_5_3_8_7_11,10_9_1_2_0_6_4_5_3_8_7_11,0
10_9_1_2_3_0_11_4_5_6_7_8,10_9_1_2_3_0_11_4_5_6_7_8,0
10_9_1_2_5_8_4_3_7_11_0_6,10_9_1_2_5_8_4_3_7_11_0_6,0
10_9_1_2_6_3_7_4_5_11_0_8,10_9_1_2_6_3_7_4_5_11_0_8,0
10_9_1_2_6_5_0_11_3_4_8_7,10_9_1_2_6_5_0_11_3_4_8_7,0
10_9_1_2_6_5_11_0_4_3_7_8,10_9_1_2_6_5_11_0_4_3_7_8,0
10_9_1_2_6_5_3_4_0_11_7_8,10_9_1_2_6_5_3_4_0_11_7_8,0
10_9_1_2_6_5_7_3_4_11_0_8,10_9_1_2_6_5_7_3_4_11_0_8,0
10_9_1_2_6_5_7_8_4_3_11_0,10_9_1_2_6_5_7_8_4_3_11_0,0
10_9_1_2_6_5_8_7_11_0_4_3,10_9_1_2_6_5_8_7_11_0_4_3,0
10_9_1_2_7_4_8_11_0_3_5_6,10_9_1_2_7_4_8_11_0_3_5_6,0
10_9_1_3_11_0_7_8_2_4_6_5,10_9_1_3_11_0_7_8_2_4_6_5,0
10_9_1_3_11_0_7_8_4_2_6_5,10_9_1_3_11_0_7_8_4_2_6_5,0
10_9_1_3_6_0_11_4_2_5_8_7,10_9_1_3_6_0_11_4_2_5_8_7,0
10_9_1_3_6_11_8_7_0_2_4_5,10_9_1_3_6_11_8_7_0_2_4_5,0
10_9_1_4_2_0_6_7_3_11_5_8,10_9_1_4_2_0_6_7_3_11_5_8,0
10_9_1_4_3_7_8_6_11_0_5_2,10_9_1_4_3_7_8_6_11_0_5_2,0
10_9_1_5_0_11_6_7_8_2_4_3,10_9_1_5_0_11_6_7_8_2_4_3,0
10_9_1_5_2_6_7_3_11_0_4_8,10_9_1_5_2_6_7_3_11_0_4_8,0
10_9_1_5_6_2_0_4_3_11_7_8,10_9_1_5_6_2_0_4_3_11_7_8,0
10_9_1_5_6_2_4_8_7_3_11_0,10_9_1_5_6_2_4_8_7_3_11_0,0
10_9_1_6_4_3_7_0_11_8_2_5,10_9_1_6_4_3_7_0_11_8_2_5,0
10_9_1_7_11_0_5_6_2_8_4_3,10_9_1_7_11_0_5_6_2_8_4_3,0
10_9_1_7_5_4_3_11_0_2_6_8,10_9_1_7_5_4_3_11_0_2_6_8,0
10_9_1_7_5_4_8_3_11_0_2_6,10_9_1_7_5_4_8_3_11_0_2_6,0
10_9_1_7_6_5_0_11_4_8_2_3,10_9_1_7_6_5_0_11_4_8_2_3,0
10_9_1_8_0_11_5_6_2_7_3_4,10_9_1_8_0_11_5_6_2_7_3_4,0
10_9_1_8_0_7_5_11_3_2_6_4,10_9_1_8_0_7_5_11_3_2_6_4,0
10_9_1_8_11_3_5_4_0_6_2_7,10_9_1_8_11_3_5_4_0_6_2_7,0
10_9_1_8_4_0_5_6_2_7_11_3,10_9_1_8_4_0_5_6_2_7_11_3,0
10_9_1_8_4_5_7_11_3_2_6_0,10_9_1_8_4_5_7_11_3_2_6_0,0
10_9_1_8_6_11_5_3_2_4_0_7,10_9_1_8_6_11_5_3_2_4_0_7,0
10_9_2_0_11_1_7_8_6_4_3_5,10_9_2_0_11_1_7_8_6_4_3_5,0
10_9_2_0_3_11_1_4_5_6_8_7,10_9_2_0_3_11_1_4_5_6_8_7,0
10_9_2_11_7_1_4_5_3_8_6_0,10_9_2_11_7_1_4_5_3_8_6_0,0
10_9_2_1_0_5_4_3_8_7_6_11,10_9_2_1_0_5_4_3_8_7_6_11,0
10_9_2_1_3_4_6_11_0_5_7_8,10_9_2_1_3_4_6_11_0_5_7_8,0
10_9_2_1_4_6_8_3_5_0_11_7,10_9_2_1_4_6_8_3_5_0_11_7,0
10_9_2_1_5_4_8_7_0_11_6_3,10_9_2_1_5_4_8_7_0_11_6_3,0
10_9_2_1_5_8_7_11_0_6_4_3,10_9_2_1_5_8_7_11_0_6_4_3,0
10_9_2_1_6_11_4_3_8_7_0_5,10_9_2_1_6_11_4_3_8_7_0_5,0
10_9_2_1_6_5_11_0_7_8_3_4,10_9_2_1_6_5_11_0_7_8_3_4,0
10_9_2_1_7_3_6_0_11_5_4_8,10_9_2_1_7_3_6_0_11_5_4_8,0
10_9_2_3_11_7_0_1_5_6_4_8,10_9_2_3_11_7_0_1_5_6_4_8,0
10_9_2_3_5_1_0_4_6_11_8_7,10_9_2_3_5_1_0_4_6_11_8_7,0
10_9_2_4_3_1_6_5_11_7_8_0,10_9_2_4_3_1_6_5_11_7_8_0,0
10_9_2_4_6_11_3_7_0_1_8_5,10_9_2_4_6_11_3_7_0_1_8_5,0
10_9_2_4_7_1_6_5_11_0_8_3,10_9_2_4_7_1_6_5_11_0_8_3,0
10_9_2_4_7_6_8_11_3_0_1_5,10_9_2_4_7_6_8_11_3_0_1_5,0
10_9_2_4_8_3_0_11_5_7_6_1,10_9_2_4_8_3_0_11_5_7_6_1,0
10_9_2_5_11_8_3_4_0_1_7_6,10_9_2_5_11_8_3_4_0_1_7_6,0
10_9_2_5_1_6_11_8_0_7_4_3,10_9_2_5_1_6_11_8_0_7_4_3,0
10_9_2_6_1_0_5_4_11_3_8_7,10_9_2_6_1_0_5_4_11_3_8_7,0
10_9_2_6_1_7_8_0_5_11_3_4,10_9_2_6_1_7_8_0_5_11_3_4,0
10_9_2_6_4_0_7_5_8_11_3_1,10_9_2_6_4_0_7_5_8_11_3_1,0
10_9_2_6_4_11_0_5_7_8_1_3,10_9_2_6_4_11_0_5_7_8_1_3,0
10_9_2_6_4_5_8_0_1_7_11_3,10_9_2_6_4_5_8_0_1_7_11_3,0
10_9_2_6_5_1_3_4_7_0_8_11,10_9_2_6_5_1_3_4_7_0_8_11,0
10_9_2_7_1_0_8_11_6_5_3_4,10_9_2_7_1_0_8_11_6_5_3_4,0
10_9_2_7_1_11_0_6_5_4_8_3,10_9_2_7_1_11_0_6_5_4_8_3,0
10_9_2_7_4_3_6_5_11_8_0_1,10_9_2_7_4_3_6_5_11_8_0_1,0
10_9_2_7_5_6_0_4_1_3_11_8,10_9_2_7_5_6_0_4_1_3_11_8,0
10_9_2_7_5_6_4_3_1_11_8_0,10_9_2_7_5_6_4_3_1_11_8_0,0
10_9_2_7_6_8_4_5_1_3_11_0,10_9_2_7_6_8_4_5_1_3_11_0,0
10_9_2_8_0_11_5_1_6_7_3_4,10_9_2_8_0_11_5_1_6_7_3_4,0
10_9_2_8_0_6_1_5_4_3_7_11,10_9_2_8_0_6_1_5_4_3_7_11,0
10_9_2_8_3_4_5_11_1_0_6_7,10_9_2_8_3_4_5_11_1_0_6_7,0
10_9_2_8_6_7_0_1_11_5_3_4,10_9_2_8_6_7_0_1_11_5_3_4,0
10_9_2_8_6_7_11_0_4_3_5_1,10_9_2_8_6_7_11_0_4_3_5_1,0
10_9_2_8_7_1_3_0_11_4_5_6,10_9_2_8_7_1_3_0_11_4_5_6,0
10_9_2_8_7_3_6_4_0_11_5_1,10_9_2_8_7_3_6_4_0_11_5_1,0
10_9_3_0_11_1_7_2_4_8_5_6,10_9_3_0_11_1_7_2_4_8_5_6,0
10_9_3_0_11_4_1_6_5_2_8_7,10_9_3_0_11_4_1_6_5_2_8_7,0
10_9_3_0_11_5_7_1_8_6_4_2,10_9_3_0_11_5_7_1_8_6_4_2,0
10_9_3_0_6_11_5_4_1_2_8_7,10_9_3_0_6_11_5_4_1_2_8_7,0
10_9_3_0_6_8_1_4_11_7_5_2,10_9_3_0_6_8_1_4_11_7_5_2,0
10_9_3_0_7_8_1_6_4_5_11_2,10_9_3_0_7_8_1_6_4_5_11_2,0
10_9_3_11_1_0_8_7_4_5_6_2,10_9_3_11_1_0_8_7_4_5_6_2,0
10_9_3_11_1_7_4_5_8_0_2_6,10_9_3_11_1_7_4_5_8_0_2_6,0
10_9_3_11_2_8_4_5_0_1_7_6,10_9_3_11_2_8_4_5_0_1_7_6,0
10_9_3_11_4_8_5_7_1_0_6_2,10_9_3_11_4_8_5_7_1_0_6_2,0
10_9_3_11_5_6_0_8_4_7_2_1,10_9_3_11_5_6_0_8_4_7_2_1,0
10_9_3_11_6_0_5_4_8_2_7_1,10_9_3_11_6_0_5_4_8_2_7_1,0
10_9_3_11_6_7_0_1_2_8_4_5,10_9_3_11_6_7_0_1_2_8_4_5,0
10_9_3_11_6_7_1_4_5_8_0_2,10_9_3_11_6_7_1_4_5_8_0_2,0
10_9_3_1_0_7_6_8_2_11_4_5,10_9_3_1_0_7_6_8_2_11_4_5,0
10_9_3_1_2_4_7_0_8_5_11_6,10_9_3_1_2_4_7_0_8_5_11_6,0
10_9_3_1_7_5_2_0_8_6_11_4,10_9_3_1_7_5_2_0_8_6_11_4,0
10_9_3_1_8_6_11_4_7_5_2_0,10_9_3_1_8_6_11_4_7_5_2_0,0
10_9_3_2_0_5_4_6_7_1_8_11,10_9_3_2_0_5_4_6_7_1_8_11,0
10_9_3_2_11_7_6_1_5_8_4_0,10_9_3_2_11_7_6_1_5_8_4_0,0
10_9_3_2_1_4_5_0_11_8_7_6,10_9_3_2_1_4_5_0_11_8_7_6,0
10_9_3_2_6_7_8_11_0_1_4_5,10_9_3_2_6_7_8_11_0_1_4_5,0
10_9_3_4_0_11_5_6_1_2_8_7,10_9_3_4_0_11_5_6_1_2_8_7,0
10_9_3_4_0_1_8_5_11_2_7_6,10_9_3_4_0_1_8_5_11_2_7_6,0
10_9_3_4_0_6_7_8_5_11_1_2,10_9_3_4_0_6_7_8_5_11_1_2,0
10_9_3_4_11_0_6_5_1_2_8_7,10_9_3_4_11_0_6_5_1_2_8_7,0
10_9_3_4_11_0_6_5_2_1_7_8,10_9_3_4_11_0_6_5_2_1_7_8,0
10_9_3_4_11_0_8_2_5_1_7_6,10_9_3_4_11_0_8_2_5_1_7_6,0
10_9_3_4_1_0_6_11_5_2_8_7,10_9_3_4_1_0_6_11_5_2_8_7,0
10_9_3_4_2_1_7_8_6_5_11_0,10_9_3_4_2_1_7_8_6_5_11_0,0
10_9_3_4_2_8_7_6_11_5_0_1,10_9_3_4_2_8_7_6_11_5_0_1,0
10_9_3_4_5_0_11_6_7_1_8_2,10_9_3_4_5_0_11_6_7_1_8_2,0
10_9_3_4_5_11_0_6_7_2_8_1,10_9_3_4_5_11_0_6_7_2_8_1,0
10_9_3_4_5_11_0_7_6_8_1_2,10_9_3_4_5_11_0_7_6_8_1_2,0
10_9_3_4_5_11_2_8_7_6_0_1,10_9_3_4_5_11_2_8_7_6_0_1,0
10_9_3_4_5_11_8_2_1_0_6_7,10_9_3_4_5_11_8_2_1_0_6_7,0
10_9_3_4_6_5_11_0_2_1_7_8,10_9_3_4_6_5_11_0_2_1_7_8,0
10_9_3_4_7_8_2_1_6_5_11_0,10_9_3_4_7_8_2_1_6_5_11_0,0
10_9_3_4_8_2_6_7_5_0_11_1,10_9_3_4_8_2_6_7_5_0_11_1,0
10_9_3_5_2_6_7_8_11_0_1_4,10_9_3_5_2_6_7_8_11_0_1_4,0
10_9_3_5_4_11_1_2_0_7_6_8,10_9_3_5_4_11_1_2_0_7_6_8,0
10_9_3_5_4_11_7_8_2_0_1_6,10_9_3_5_4_11_7_8_2_0_1_6,0
10_9_3_5_4_6_0_2_1_11_8_7,10_9_3_5_4_6_0_2_1_11_8_7,0
10_9_3_5_6_8_0_11_4_2_7_1,10_9_3_5_6_8_0_11_4_2_7_1,0
10_9_3_5_8_4_11_0_7_2_1_6,10_9_3_5_8_4_11_0_7_2_1_6,0
10_9_3_6_0_1_4_5_11_2_8_7,10_9_3_6_0_1_4_5_11_2_8_7,0
10_9_3_6_11_5_0_2_7_4_8_1,10_9_3_6_11_5_0_2_7_4_8_1,0
10_9_3_6_2_7_8_0_4_5_1_11,10_9_3_6_2_7_8_0_4_5_1_11,0
10_9_3_6_4_0_5_1_11_2_8_7,10_9_3_6_4_0_5_1_11_2_8_7,0
10_9_3_6_5_11_0_4_2_8_7_1,10_9_3_6_5_11_0_4_2_8_7_1,0
10_9_3_6_7_8_4_5_11_0_2_1,10_9_3_6_7_8_4_5_11_0_2_1,0
10_9_3_6_8_7_1_2_11_5_0_4,10_9_3_6_8_7_1_2_11_5_0_4,0
10_9_3_7_0_1_2_4_5_11_6_8,10_9_3_7_0_1_2_4_5_11_6_8,0
10_9_3_7_6_1_11_0_5_2_4_8,10_9_3_7_6_1_11_0_5_2_4_8,0
10_9_3_8_11_6_7_0_5_2_4_1,10_9_3_8_11_6_7_0_5_2_4_1,0
10_9_3_8_11_7_2_5_4_6_1_0,10_9_3_8_11_7_2_5_4_6_1_0,0
10_9_3_8_1_5_2_7_0_11_6_4,10_9_3_8_1_5_2_7_0_11_6_4,0
10_9_3_8_1_6_4_0_7_5_2_11,10_9_3_8_1_6_4_0_7_5_2_11,0
10_9_3_8_2_0_5_7_6_1_4_11,10_9_3_8_2_0_5_7_6_1_4_11,0
10_9_3_8_2_1_11_0_5_4_6_7,10_9_3_8_2_1_11_0_5_4_6_7,0
10_9_3_8_2_1_7_6_0_11_4_5,10_9_3_8_2_1_7_6_0_11_4_5,0
10_9_3_8_2_5_11_0_6_1_4_7,10_9_3_8_2_5_11_0_6_1_4_7,0
10_9_3_8_6_5_11_4_2_1_7_0,10_9_3_8_6_5_11_4_2_1_7_0,0
10_9_3_8_6_7_4_2_5_0_1_11,10_9_3_8_6_7_4_2_5_0_1_11,0
10_9_4_0_11_7_8_3_2_1_5_6,10_9_4_0_11_7_8_3_2_1_5_6,0
10_9_4_0_1_5_8_7_2_11_3_6,10_9_4_0_1_5_8_7_2_11_3_6,0
10_9_4_0_5_8_6_11_3_1_2_7,10_9_4_0_5_8_6_11_3_1_2_7,0
10_9_4_11_0_5_2_3_8_7_6_1,10_9_4_11_0_5_2_3_8_7_6_1,0
10_9_4_11_3_5_0_2_6_7_8_1,10_9_4_11_3_5_0_2_6_7_8_1,0
10_9_4_1_0_8_7_11_3_2_6_5,10_9_4_1_0_8_7_11_3_2_6_5,0
10_9_4_1_2_7_8_6_11_3_5_0,10_9_4_1_2_7_8_6_11_3_5_0,0
10_9_4_1_5_7_3_6_11_0_8_2,10_9_4_1_5_7_3_6_11_0_8_2,0
10_9_4_1_8_11_3_5_7_2_6_0,10_9_4_1_8_11_3_5_7_2_6_0,0
10_9_4_2_1_7_3_0_6_11_5_8,10_9_4_2_1_7_3_0_6_11_5_8,0
10_9_4_2_3_5_1_6_0_7_11_8,10_9_4_2_3_5_1_6_0_7_11_8,0
10_9_4_2_3_8_7_1_0_11_5_6,10_9_4_2_3_8_7_1_0_11_5_6,0
10_9_4_2_5_6_3_7_1_8_11_0,10_9_4_2_5_6_3_7_1_8_11_0,0
10_9_4_2_6_5_3_11_1_0_8_7,10_9_4_2_6_5_3_11_1_0_8_7,0
10_9_4_2_8_3_0_11_7_5_6_1,10_9_4_2_8_3_0_11_7_5_6_1,0
10_9_4_2_8_3_6_7_11_1_0_5,10_9_4_2_8_3_6_7_11_1_0_5,0
10_9_4_3_11_0_6_5_1_2_7_8,10_9_4_3_11_0_6_5_1_2_7_8,0
10_9_4_3_2_1_11_0_5_6_7_8,10_9_4_3_2_1_11_0_5_6_7_8,0
10_9_4_3_2_1_11_8_7_5_0_6,10_9_4_3_2_1_11_8_7_5_0_6,0
10_9_4_3_2_8_0_11_5_6_1_7,10_9_4_3_2_8_0_11_5_6_1_7,0
10_9_4_3_2_8_11_6_7_1_5_0,10_9_4_3_2_8_11_6_7_1_5_0,0
10_9_4_3_2_8_7_1_0_5_11_6,10_9_4_3_2_8_7_1_0_5_11_6,0
10_9_4_3_7_8_2_1_5_6_11_0,10_9_4_3_7_8_2_1_5_6_11_0,0
10_9_4_3_8_7_11_0_5_6_2_1,10_9_4_3_8_7_11_0_5_6_2_1,0
10_9_4_5_11_0_6_7_1_8_2_3,10_9_4_5_11_0_6_7_1_8_2_3,0
10_9_4_5_1_2_6_11_0_8_7_3,10_9_4_5_1_2_6_11_0_8_7_3,0
10_9_4_5_2_3_6_7_8_11_0_1,10_9_4_5_2_3_6_7_8_11_0_1,0
10_9_4_5_3_11_8_0_7_1_2_6,10_9_4_5_3_11_8_0_7_1_2_6,0
10_9_4_5_6_3_11_2_1_0_8_7,10_9_4_5_6_3_11_2_1_0_8_7,0
10_9_4_5_6_3_2_8_7_11_0_1,10_9_4_5_6_3_2_8_7_11_0_1,0
10_9_4_5_7_6_11_0_2_1_8_3,10_9_4_5_7_6_11_0_2_1_8_3,0
10_9_4_6_1_7_8_2_3_5_0_11,10_9_4_6_1_7_8_2_3_5_0_11,0
10_9_4_6_3_8_5_2_7_1_0_11,10_9_4_6_3_8_5_2_7_1_0_11,0
10_9_4_6_5_8_3_11_2_7_1_0,10_9_4_6_5_8_3_11_2_7_1_0,0
10_9_4_6_5_8_3_2_7_0_11_1,10_9_4_6_5_8_3_2_7_0_11_1,0
10_9_4_6_7_1_2_8_3_5_0_11,10_9_4_6_7_1_2_8_3_5_0_11,0
10_9_4_6_8_3_2_0_11_1_7_5,10_9_4_6_8_3_2_0_11_1_7_5,0
10_9_4_7_1_11_0_5_6_8_2_3,10_9_4_7_1_11_0_5_6_8_2_3,0
10_9_4_7_3_11_5_6_0_8_2_1,10_9_4_7_3_11_5_6_0_8_2_1,0
10_9_4_7_8_5_6_11_3_0_2_1,10_9_4_7_8_5_6_11_3_0_2_1,0
10_9_4_8_0_1_5_6_11_7_3_2,10_9_4_8_0_1_5_6_11_7_3_2,0
10_9_4_8_0_1_6_3_7_2_11_5,10_9_4_8_0_1_6_3_7_2_11_5,0
10_9_4_8_0_5_1_2_7_3_11_6,10_9_4_8_0_5_1_2_7_3_11_6,0
10_9_4_8_3_1_7_6_0_11_5_2,10_9_4_8_3_1_7_6_0_11_5_2,0
10_9_4_8_3_6_1_5_2_11_0_7,10_9_4_8_3_6_1_5_2_11_0_7,0
10_9_4_8_5_3_11_6_1_2_0_7,10_9_4_8_5_3_11_6_1_2_0_7,0
10_9_4_8_5_6_1_0_3_2_7_11,10_9_4_8_5_6_1_0_3_2_7_11,0
10_9_4_8_7_11_6_2_0_5_3_1,10_9_4_8_7_11_6_2_0_5_3_1,0
10_9_4_8_7_6_5_3_1_2_0_11,10_9_4_8_7_6_5_3_1_2_0_11,0
10_9_4_8_7_6_5_3_1_2_11_0,10_9_4_8_7_6_5_3_1_2_11_0,0
10_9_5_0_4_3_2_6_8_11_1_7,10_9_5_0_4_3_2_6_8_11_1_7,0
10_9_5_11_0_7_1_6_8_2_3_4,10_9_5_11_0_7_1_6_8_2_3_4,0
10_9_5_11_0_7_8_6_3_4_1_2,10_9_5_11_0_7_8_6_3_4_1_2,0
10_9_5_11_2_6_1_7_8_0_3_4,10_9_5_11_2_6_1_7_8_0_3_4,0
10_9_5_11_6_2_1_7_0_8_3_4,10_9_5_11_6_2_1_7_0_8_3_4,0
10_9_5_11_7_8_1_2_6_0_4_3,10_9_5_11_7_8_1_2_6_0_4_3,0
10_9_5_1_0_8_4_11_3_6_7_2,10_9_5_1_0_8_4_11_3_6_7_2,0
10_9_5_1_0_8_4_3_11_7_6_2,10_9_5_1_0_8_4_3_11_7_6_2,0
10_9_5_1_4_8_0_11_7_3_2_6,10_9_5_1_4_8_0_11_7_3_2_6,0
10_9_5_1_6_2_3_4_11_8_0_7,10_9_5_1_6_2_3_4_11_8_0_7,0
10_9_5_1_6_7_11_0_4_8_3_2,10_9_5_1_6_7_11_0_4_8_3_2,0
10_9_5_1_6_8_7_4_2_3_11_0,10_9_5_1_6_8_7_4_2_3_11_0,0
10_9_5_1_8_2_7_0_3_4_6_11,10_9_5_1_8_2_7_0_3_4_6_11,0
10_9_5_2_0_6_7_3_1_8_11_4,10_9_5_2_0_6_7_3_1_8_11_4,0
10_9_5_2_0_7_1_6_8_11_3_4,10_9_5_2_0_7_1_6_8_11_3_4,0
10_9_5_2_1_6_4_3_7_0_8_11,10_9_5_2_1_6_4_3_7_0_8_11,0
10_9_5_2_3_8_7_6_4_0_11_1,10_9_5_2_3_8_7_6_4_0_11_1,0
10_9_5_2_4_6_8_7_3_1_0_11,10_9_5_2_4_6_8_7_3_1_0_11,0
10_9_5_2_7_0_3_1_6_4_11_8,10_9_5_2_7_0_3_1_6_4_11_8,0
10_9_5_3_2_11_8_0_6_4_1_7,10_9_5_3_2_11_8_0_6_4_1_7,0
10_9_5_3_2_1_11_0_4_6_7_8,10_9_5_3_2_1_11_0_4_6_7_8,0
10_9_5_3_4_11_2_1_8_6_0_7,10_9_5_3_4_11_2_1_8_6_0_7,0
10_9_5_3_4_6_0_2_7_1_11_8,10_9_5_3_4_6_0_2_7_1_11_8,0
10_9_5_3_7_6_8_0_11_2_4_1,10_9_5_3_7_6_8_0_11_2_4_1,0
10_9_5_4_0_8_2_6_3_11_7_1,10_9_5_4_0_8_2_6_3_11_7_1,0
10_9_5_4_0_8_7_2_3_11_6_1,10_9_5_4_0_8_7_2_3_11_6_1,0
10_9_5_4_1_11_2_3_7_0_8_6,10_9_5_4_1_11_2_3_7_0_8_6,0
10_9_5_4_3_0_1_2_6_7_8_11,10_9_5_4_3_0_1_2_6_7_8_11,0
10_9_5_4_3_2_1_0_7_6_8_11,10_9_5_4_3_2_1_0_7_6_8_11,0
10_9_5_4_3_6_2_11_0_1_8_7,10_9_5_4_3_6_2_11_0_1_8_7,0
10_9_5_4_6_11_2_3_1_8_0_7,10_9_5_4_6_11_2_3_1_8_0_7,0
10_9_5_4_6_2_0_11_3_1_8_7,10_9_5_4_6_2_0_11_3_1_8_7,0
10_9_5_4_6_7_2_11_0_8_3_1,10_9_5_4_6_7_2_11_0_8_3_1,0
10_9_5_6_0_4_1_7_11_2_3_8,10_9_5_6_0_4_1_7_11_2_3_8,0
10_9_5_6_0_8_2_4_7_1_3_11,10_9_5_6_0_8_2_4_7_1_3_11,0
10_9_5_6_11_0_4_3_8_7_2_1,10_9_5_6_11_0_4_3_8_7_2_1,0
10_9_5_6_1_11_0_8_4_3_2_7,10_9_5_6_1_11_0_8_4_3_2_7,0
10_9_5_6_1_3_7_8_0_11_4_2,10_9_5_6_1_3_7_8_0_11_4_2,0
10_9_5_6_2_1_7_8_4_3_11_0,10_9_5_6_2_1_7_8_4_3_11_0,0
10_9_5_6_2_8_11_0_4_3_7_1,10_9_5_6_2_8_11_0_4_3_7_1,0
10_9_5_6_4_3_0_7_8_11_1_2,10_9_5_6_4_3_0_7_8_11_1_2,0
10_9_5_6_7_0_11_1_4_3_2_8,10_9_5_6_7_0_11_1_4_3_2_8,0
10_9_5_6_7_0_11_3_4_8_1_2,10_9_5_6_7_0_11_3_4_8_1_2,0
10_9_5_6_7_11_0_8_1_2_3_4,10_9_5_6_7_11_0_8_1_2_3_4,0
10_9_5_6_7_4_3_2_8_11_0_1,10_9_5_6_7_4_3_2_8_11_0_1,0
10_9_5_7_0_2_4_3_11_1_6_8,10_9_5_7_0_2_4_3_11_1_6_8,0
10_9_5_7_1_0_6_3_11_8_4_2,10_9_5_7_1_0_6_3_11_8_4_2,0
10_9_5_7_3_0_1_4_11_6_8_2,10_9_5_7_3_0_1_4_11_6_8_2,0
10_9_5_7_3_8_2_0_6_4_11_1,10_9_5_7_3_8_2_0_6_4_11_1,0
10_9_5_7_6_2_4_3_11_1_0_8,10_9_5_7_6_2_4_3_11_1_0_8,0
10_9_5_7_8_6_2_3_11_1_0_4,10_9_5_7_8_6_2_3_11_1_0_4,0
10_9_5_7_8_6_4_3_1_2_11_0,10_9_5_7_8_6_4_3_1_2_11_0,0
10_9_5_8_11_1_2_3_7_0_4_6,10_9_5_8_11_1_2_3_7_0_4_6,0
10_9_5_8_11_2_6_3_0_7_4_1,10_9_5_8_11_2_6_3_0_7_4_1,0
10_9_5_8_2_3_0_1_4_11_6_7,10_9_5_8_2_3_0_1_4_11_6_7,0
10_9_5_8_4_3_6_2_0_7_1_11,10_9_5_8_4_3_6_2_0_7_1_11,0
10_9_5_8_4_7_6_2_3_0_1_11,10_9_5_8_4_7_6_2_3_0_1_11,0
10_9_5_8_6_1_7_0_2_11_3_4,10_9_5_8_6_1_7_0_2_11_3_4,0
10_9_6_0_11_5_7_8_2_1_3_4,10_9_6_0_11_5_7_8_2_1_3_4,0
10_9_6_11_0_3_5_2_1_4_7_8,10_9_6_11_0_3_5_2_1_4_7_8,0
10_9_6_11_1_5_4_0_2_3_8_7,10_9_6_11_1_5_4_0_2_3_8_7,0
